Var1,Freq,Old category,New category,Bot
I trust PBS because they provide real news and program.,1,I trust PBS because they provide real news and program.,"News exhibits political moderation, unbiasedness, or accuracy",
I trust PBS because they provide the best news without false news,1,I trust PBS because they provide the best news without false news,"News exhibits political moderation, unbiasedness, or accuracy",
"I trust PBS because when they do report on events they support their reporting with hard facts, often taking both sides of an argument.  I have been listening to PBS for many years and have never experienced one incident where the reporting of news has been inaccurate or misleading.",1,"I trust PBS because when they do report on events they support their reporting with hard facts, often taking both sides of an argument.  I have been listening to PBS for many years and have never experienced one incident where the reporting of news has been inaccurate or misleading.","News exhibits political moderation, unbiasedness, or accuracy",
i trust PBS cause they are not biased.,1,i trust PBS cause they are not biased.,"News exhibits political moderation, unbiasedness, or accuracy",
I trust pbs more than the rest not sure who to trust anymore,1,I trust pbs more than the rest not sure who to trust anymore,Other,
I trust PBS to answer the public's need to know real and verifiable news and to avoid a recurrent tendency to become too heavily influenced by private interests.,1,I trust PBS to answer the public's need to know real and verifiable news and to avoid a recurrent tendency to become too heavily influenced by private interests.,"News exhibits political moderation, unbiasedness, or accuracy",
I trust them because they give the best news,1,I trust them because they give the best news,"News exhibits political moderation, unbiasedness, or accuracy",
I trust your people,1,I trust your people,Other,
I trusted PBS based ok their promotion abd recommed,1,I trusted PBS based ok their promotion abd recommed,Range and diversity of programming,
I used to love PBS as a child and still have immense trust in them as a result of my previous experiences today.,1,I used to love PBS as a child and still have immense trust in them as a result of my previous experiences today.,"Nostalgia, familiarity, and comfort",
"I value their accurate, in-depth coverage of important national, state, and local issues. I value their coverage of things no other station covers.",1,"I value their accurate, in-depth coverage of important national, state, and local issues. I value their coverage of things no other station covers.","News exhibits political moderation, unbiasedness, or accuracy",
I watched it as a kid,1,I watched it as a kid,"Nostalgia, familiarity, and comfort",
"I watched PBS shows as a kid and they shaped me to be a kind understanding person, it is local, noncommercial, and supports the arts",1,"I watched PBS shows as a kid and they shaped me to be a kind understanding person, it is local, noncommercial, and supports the arts","Nostalgia, familiarity, and comfort",
I would like it would,1,I would like it would,Other,
I've been watching PBS for years.,1,I've been watching PBS for years.,"Nostalgia, familiarity, and comfort",
"I've followed since I was a child. In my eyes, PBS can do no wrong",1,"I've followed since I was a child. In my eyes, PBS can do no wrong","Nostalgia, familiarity, and comfort",
I've Watched it since I was little and always like the the way they tackle subjects,1,I've Watched it since I was little and always like the the way they tackle subjects,"Nostalgia, familiarity, and comfort",
I’m not sure,1,I’m not sure,Other,
"I’ve always loved PBS since I was a child, I trust it because they are the most Harmless network I have ever seen. Everything is so pure and they speak the truth .",1,"I’ve always loved PBS since I was a child, I trust it because they are the most Harmless network I have ever seen. Everything is so pure and they speak the truth .","Nostalgia, familiarity, and comfort",
I’ve watched it as a kid,1,I’ve watched it as a kid,"Nostalgia, familiarity, and comfort",
I’ve watched it since I was younger so it’s a sense of comfort,1,I’ve watched it since I was younger so it’s a sense of comfort,"Nostalgia, familiarity, and comfort",
Idk,2,Idk,Other,
Idkk,1,Idkk,Other,
"If (and I stress IF) there is any bias in PBS, it is because they intend for the public good, not their private profit or gain.",1,"If (and I stress IF) there is any bias in PBS, it is because they intend for the public good, not their private profit or gain.","News exhibits political moderation, unbiasedness, or accuracy",
Impartial reporting,1,Impartial reporting,"News exhibits political moderation, unbiasedness, or accuracy",
Impartiality,1,Impartiality,"News exhibits political moderation, unbiasedness, or accuracy",
in depth unbiased reporting,1,in depth unbiased reporting,"News exhibits political moderation, unbiasedness, or accuracy",
In over 50 years I have never had a reason to not trust PBS,1,In over 50 years I have never had a reason to not trust PBS,"Nostalgia, familiarity, and comfort",
"In the over 60 years I have watched PBS, I have never experienced a bias by PBS.",1,"In the over 60 years I have watched PBS, I have never experienced a bias by PBS.","Nostalgia, familiarity, and comfort",
in this company,1,in this company,Structure of the network,
Independent from Government and not dependent upon corporate sponsors (though that is startin to become an issue),1,Independent from Government and not dependent upon corporate sponsors (though that is startin to become an issue),Public funding,
Information source is powerful.,1,Information source is powerful.,"News exhibits political moderation, unbiasedness, or accuracy",
informative and entertaining content,1,informative and entertaining content,High quality programming,
Informative for children,1,Informative for children,Children's and educational programming,
informative shows,1,informative shows,High quality programming,
Integrity,1,Integrity,"News exhibits political moderation, unbiasedness, or accuracy",
"Integrity of reporting and high quality of production, content, and subject matter.",1,"Integrity of reporting and high quality of production, content, and subject matter.","News exhibits political moderation, unbiasedness, or accuracy",
"Integrity, Truth and Direct",1,"Integrity, Truth and Direct","News exhibits political moderation, unbiasedness, or accuracy",
Intelligence,1,Intelligence,Other,
Interest in education,1,Interest in education,Children's and educational programming,
Interesting and educational programming for all ages and ethnicities,1,Interesting and educational programming for all ages and ethnicities,Children's and educational programming,
interesting programming,1,interesting programming,High quality programming,
"Interesting stories and mostly unbiased, but sometimes get too far left and need to stay in center.",1,"Interesting stories and mostly unbiased, but sometimes get too far left and need to stay in center.","News exhibits political moderation, unbiasedness, or accuracy",
interviews from many different perspectives,1,interviews from many different perspectives,"News exhibits political moderation, unbiasedness, or accuracy",
is good,1,is good,Other,
Is is sponosored by the audience,1,Is is sponosored by the audience,Public funding,
Is non profit so it is nothing to gain by going one direction or leaning towards the other. The accuracy should be a little better.,1,Is non profit so it is nothing to gain by going one direction or leaning towards the other. The accuracy should be a little better.,Public funding,
Is the good,1,Is the good,Other,
it,1,it,Other,
It a unbiased source of news,1,It a unbiased source of news,"News exhibits political moderation, unbiasedness, or accuracy",
"It doesnt have a reason to have an agenda, be sensationalist, or capture viewers. Its just for information and doesnt care to make you watch, which is a better call to watch it and enjoy",1,"It doesnt have a reason to have an agenda, be sensationalist, or capture viewers. Its just for information and doesnt care to make you watch, which is a better call to watch it and enjoy","News exhibits political moderation, unbiasedness, or accuracy",
It feels genuine,1,It feels genuine,Other,
It feels more like real people,1,It feels more like real people,Other,
it gives more information,1,it gives more information,"News exhibits political moderation, unbiasedness, or accuracy",
It goes back when I was a kid.,1,It goes back when I was a kid.,"Nostalgia, familiarity, and comfort",
It has a good public image,1,It has a good public image,Other,
It has a range of programs,1,It has a range of programs,Range and diversity of programming,
It has been reliable and they remain a neutral position,1,It has been reliable and they remain a neutral position,"News exhibits political moderation, unbiasedness, or accuracy",
It has no agenda,1,It has no agenda,Other,
it has no influenced by commercial ads or sponsers,1,it has no influenced by commercial ads or sponsers,Public funding,
It has to do with the different programs that I am not able to see anywhere else,1,It has to do with the different programs that I am not able to see anywhere else,Range and diversity of programming,
It helped educate me as a child.,1,It helped educate me as a child.,"Nostalgia, familiarity, and comfort",
It helped me learn things when I were younger,1,It helped me learn things when I were younger,"Nostalgia, familiarity, and comfort",
it is a high quality public service with a wide range of cultural programming,1,it is a high quality public service with a wide range of cultural programming,High quality programming,
It is a public station not out to make a profit,1,It is a public station not out to make a profit,Public funding,
It is aspirational,1,It is aspirational,Other,
It is cerebral,1,It is cerebral,Other,
It is ethnically diverse and provides history for diversity.,1,It is ethnically diverse and provides history for diversity.,Range and diversity of programming,
"It is fair and unbiased, covers all topics accurately and respectfully, non-profit, cares about all people and cultures, been around as long as I can remember and I am 70 years old.",1,"It is fair and unbiased, covers all topics accurately and respectfully, non-profit, cares about all people and cultures, been around as long as I can remember and I am 70 years old.","News exhibits political moderation, unbiasedness, or accuracy",
it is good or better,1,it is good or better,High quality programming,
It is independent in its affiliations.,1,It is independent in its affiliations.,Structure of the network,
It is made for the public,1,It is made for the public,Other,
It is neutral to issues.,1,It is neutral to issues.,"News exhibits political moderation, unbiasedness, or accuracy",
"It is neutral, provides educational programs, no advertising.",1,"It is neutral, provides educational programs, no advertising.",Children's and educational programming,
It is Nice,1,It is Nice,"Nostalgia, familiarity, and comfort",
It is ok,1,It is ok,Other,
It is publuc.  Not special interests.,1,It is publuc.  Not special interests.,Public funding,
It is specific whether reporting news or opinion type programs.,1,It is specific whether reporting news or opinion type programs.,"News exhibits political moderation, unbiasedness, or accuracy",
it is trastful,1,it is trastful,High quality programming,
it is trustful because it is lack bias,1,it is trustful because it is lack bias,"News exhibits political moderation, unbiasedness, or accuracy",
It is unbiased and educational,1,It is unbiased and educational,Children's and educational programming,
it is very good,1,it is very good,High quality programming,
it is very good and better,1,it is very good and better,High quality programming,
It is very good.,1,It is very good.,High quality programming,
It is very positive,1,It is very positive,Other,
It is viewer-funded and nonprofit.,1,It is viewer-funded and nonprofit.,Public funding,
It isn't owned by the media,1,It isn't owned by the media,Public funding,
"It just seems like objective, No nonsense reporting and unbiased.",1,"It just seems like objective, No nonsense reporting and unbiased.","News exhibits political moderation, unbiasedness, or accuracy",
It provides a wonderful variety of programming. It's for everyone!,1,It provides a wonderful variety of programming. It's for everyone!,Range and diversity of programming,
It provides programs for children that define what is happening in the world today.,1,It provides programs for children that define what is happening in the world today.,Children's and educational programming,
It seems like an unbiased station so there is no reason not to trust,1,It seems like an unbiased station so there is no reason not to trust,"News exhibits political moderation, unbiasedness, or accuracy",
It seems like its genuine news,1,It seems like its genuine news,"News exhibits political moderation, unbiasedness, or accuracy",
it seems to have less bias than other news shows,1,it seems to have less bias than other news shows,"News exhibits political moderation, unbiasedness, or accuracy",
it seems unbiased,1,it seems unbiased,"News exhibits political moderation, unbiasedness, or accuracy",
It shows good news,1,It shows good news,"News exhibits political moderation, unbiasedness, or accuracy",
It treats their viewers as customers not consumers.,1,It treats their viewers as customers not consumers.,Other,
it trustful,1,it trustful,Other,
It's a family chennel,1,It's a family chennel,Range and diversity of programming,
It's a learning channel.,1,It's a learning channel.,Children's and educational programming,
"It's always there, I grew up watching channel 13.  I trusted PBS with my children watching anf then with my grandchildren watching.  I never worried about the honestly of this organization.",1,"It's always there, I grew up watching channel 13.  I trusted PBS with my children watching anf then with my grandchildren watching.  I never worried about the honestly of this organization.","Nostalgia, familiarity, and comfort",
It's amazing,1,It's amazing,Other,
It's for the people,1,It's for the people,Public funding,
it's free and reliable,1,it's free and reliable,Other,
It's honesty,1,It's honesty,"News exhibits political moderation, unbiasedness, or accuracy",
It's innovative,1,It's innovative,Other,
It's more preferable in services and sensational,1,It's more preferable in services and sensational,Other,
It's not  government or corporate run,1,It's not  government or corporate run,Public funding,
It's publicly not commercially funded.,1,It's publicly not commercially funded.,Public funding,
It's relatable and close to home,1,It's relatable and close to home,"Nostalgia, familiarity, and comfort",
It's straightforward,1,It's straightforward,Other,
It's uniqueness and reliability,1,It's uniqueness and reliability,"News exhibits political moderation, unbiasedness, or accuracy",
it's very honest,1,it's very honest,Other,
It's very pleasure for child.,1,It's very pleasure for child.,Children's and educational programming,
It’s a community organization,1,It’s a community organization,Structure of the network,
It’s a good local station,1,It’s a good local station,Structure of the network,
It’s a good sight,1,It’s a good sight,Other,
It’s accurate information,1,It’s accurate information,"News exhibits political moderation, unbiasedness, or accuracy",
It’s always been around and seems to be authentic.,1,It’s always been around and seems to be authentic.,"Nostalgia, familiarity, and comfort",
It’s amazing,1,It’s amazing,Other,
It’s been around a long time,1,It’s been around a long time,"Nostalgia, familiarity, and comfort",
It’s for the people and by the people,1,It’s for the people and by the people,Public funding,
It’s got good rep,1,It’s got good rep,"Nostalgia, familiarity, and comfort",
It’s informative,1,It’s informative,"News exhibits political moderation, unbiasedness, or accuracy",
"It’s mainly a kids program , should be simple",1,"It’s mainly a kids program , should be simple",Children's and educational programming,
It’s non profit,1,It’s non profit,Public funding,
It’s publicly funded so people running for office can’t buy ads or do general buyouts,1,It’s publicly funded so people running for office can’t buy ads or do general buyouts,Public funding,
It’s very educational,1,It’s very educational,Children's and educational programming,
It’s very educational.,1,It’s very educational.,Children's and educational programming,
It’s very trustable,1,It’s very trustable,Other,
Its a good informer,1,Its a good informer,"News exhibits political moderation, unbiasedness, or accuracy",
Its a good source,1,Its a good source,"News exhibits political moderation, unbiasedness, or accuracy",
Its accuracy and its been around,1,Its accuracy and its been around,"Nostalgia, familiarity, and comfort",
Its content provided,1,Its content provided,Other,
its corporate office is in my hometosn and Ive been watching it since I was a kid,1,its corporate office is in my hometosn and Ive been watching it since I was a kid,"Nostalgia, familiarity, and comfort",
Its free,1,Its free,Public funding,
Its good,1,Its good,High quality programming,
Its helpfully,1,Its helpfully,Other,
Its local,1,Its local,"Nostalgia, familiarity, and comfort",
Its news. I don't trust any of it,1,Its news. I don't trust any of it,"News exhibits political moderation, unbiasedness, or accuracy",
Its non profit so any funding provided to the company is solely based on donations. So the staff is solely there on their own accord and not influenced based on money,1,Its non profit so any funding provided to the company is solely based on donations. So the staff is solely there on their own accord and not influenced based on money,Public funding,
Its not controlled by big tech,1,Its not controlled by big tech,Public funding,
Its real,1,Its real,Other,
Its reported exactly true news,1,Its reported exactly true news,"News exhibits political moderation, unbiasedness, or accuracy",
"its so good, i like it so much",2,"its so good, i like it so much",High quality programming,
its too good and helpfull,1,its too good and helpfull,Other,
ITS TRUST ANDQUALITY MUST HAVE NEED.,1,ITS TRUST ANDQUALITY MUST HAVE NEED.,High quality programming,
Its very neutrsl.,1,Its very neutrsl.,"News exhibits political moderation, unbiasedness, or accuracy",
Iu,1,Iu,Other,
Just good entrrtainment eithout having to think so much,1,Just good entrrtainment eithout having to think so much,"Nostalgia, familiarity, and comfort",
Just the facts baby,1,Just the facts baby,"News exhibits political moderation, unbiasedness, or accuracy",
Just trustworthy,1,Just trustworthy,"Nostalgia, familiarity, and comfort",
Jxjdjxkcick j ifkd,1,Jxjdjxkcick j ifkd,Other,
Keeping me up to date,1,Keeping me up to date,"News exhibits political moderation, unbiasedness, or accuracy",
Kidd,1,Kidd,Children's and educational programming,
kids,1,kids,Children's and educational programming,
Kids,3,Kids,Children's and educational programming,
Kids educational programs,1,Kids educational programs,Children's and educational programming,
Kids friendly,1,Kids friendly,Children's and educational programming,
Kids like it,1,Kids like it,Children's and educational programming,
Kids shows,1,Kids shows,Children's and educational programming,
Kind,1,Kind,Other,
Kind concederare an fun full of learning,1,Kind concederare an fun full of learning,Children's and educational programming,
Knowing I get facts not fake news,1,Knowing I get facts not fake news,"News exhibits political moderation, unbiasedness, or accuracy",
Known it since a kid,1,Known it since a kid,"Nostalgia, familiarity, and comfort",
lack of advertisers,1,lack of advertisers,Public funding,
lack of bias,1,lack of bias,"News exhibits political moderation, unbiasedness, or accuracy",
Lack of bias,3,Lack of bias,"News exhibits political moderation, unbiasedness, or accuracy",
Lack of bias and fair and accurate,1,Lack of bias and fair and accurate,"News exhibits political moderation, unbiasedness, or accuracy",
Lack of bias and the ability to show all sides,1,Lack of bias and the ability to show all sides,"News exhibits political moderation, unbiasedness, or accuracy",
lack of bias in reporting,1,lack of bias in reporting,"News exhibits political moderation, unbiasedness, or accuracy",
Lack of bias in reporting,1,Lack of bias in reporting,"News exhibits political moderation, unbiasedness, or accuracy",
Lack of bias in the reporting,1,Lack of bias in the reporting,"News exhibits political moderation, unbiasedness, or accuracy",
Lack of bias noted in services and programs,1,Lack of bias noted in services and programs,High quality programming,
"lack of bias, well known, informative",1,"lack of bias, well known, informative","News exhibits political moderation, unbiasedness, or accuracy",
Lack of government intrusion,1,Lack of government intrusion,Public funding,
Learn,1,Learn,Children's and educational programming,
Learning,1,Learning,Children's and educational programming,
Learning stugg,1,Learning stugg,Children's and educational programming,
Less biased than others,1,Less biased than others,"News exhibits political moderation, unbiasedness, or accuracy",
li is very good,1,li is very good,Other,
like it,3,like it,Other,
likely,2,likely,Other,
little bias,1,little bias,"News exhibits political moderation, unbiasedness, or accuracy",
Local,4,Local,Structure of the network,
Local affiliates,1,Local affiliates,Structure of the network,
Local and less influenced by monetary funds.,1,Local and less influenced by monetary funds.,Structure of the network,
Local coverage,1,Local coverage,Other,
local focus,1,local focus,Other,
Locally owned,1,Locally owned,Structure of the network,
Logical,1,Logical,Other,
Long time on air and the programs are for everyone at every age,1,Long time on air and the programs are for everyone at every age,"Nostalgia, familiarity, and comfort",
Long time reputation,1,Long time reputation,"Nostalgia, familiarity, and comfort",
Long time trust embedded in our culture. They haven’t steered me wrong yet,1,Long time trust embedded in our culture. They haven’t steered me wrong yet,"Nostalgia, familiarity, and comfort",
Long time viewer,1,Long time viewer,"Nostalgia, familiarity, and comfort",
longevity,1,longevity,"Nostalgia, familiarity, and comfort",
Longevity and intelligent programming,1,Longevity and intelligent programming,"Nostalgia, familiarity, and comfort",
Longman Dictionary of Contemporary English off the top of your head off the top of your head.,1,Longman Dictionary of Contemporary English off the top of your head off the top of your head.,Other,
Lots of family entertainment,1,Lots of family entertainment,Range and diversity of programming,
love it,1,love it,Other,
Love Masterpiece.  Lots of broadcasts from the BBC and local events.,1,Love Masterpiece.  Lots of broadcasts from the BBC and local events.,High quality programming,
Loveit,1,Loveit,Other,
M,1,M,Other,
Madrit,1,Madrit,Other,
mainstream,1,mainstream,Other,
MAmissingITAING,1,MANAITAING,Other,
Many program,1,Many program,Range and diversity of programming,
"MARK WILLIAMS: He was just wired up from head to foot. Drew Altman heads Kaiser Family Foundation, one of America's top health",1,"MARK WILLIAMS: He was just wired up from head to foot. Drew Altman heads Kaiser Family Foundation, one of America's top health",Other,
More accurate and not funded by political parties and it's news you can trust as the truth,1,More accurate and not funded by political parties and it's news you can trust as the truth,"News exhibits political moderation, unbiasedness, or accuracy",
More complete coverage of stories,1,More complete coverage of stories,"News exhibits political moderation, unbiasedness, or accuracy",
more factual reporting,1,more factual reporting,"News exhibits political moderation, unbiasedness, or accuracy",
"More in depth than other mediums except CBS 60 minutes, but PBS does it every day.",1,"More in depth than other mediums except CBS 60 minutes, but PBS does it every day.","News exhibits political moderation, unbiasedness, or accuracy",
More people oriented and publicly funded.,1,More people oriented and publicly funded.,Public funding,
More rounded news / more world news available/less opinions voiced,1,More rounded news / more world news available/less opinions voiced,"News exhibits political moderation, unbiasedness, or accuracy",
most neutral; wid) variety of perspectives (though not the radical right - thankfully0,1,most neutral; wid) variety of perspectives (though not the radical right - thankfully0,"News exhibits political moderation, unbiasedness, or accuracy",
Mostly because they show more than one side of issues. They offer various programming to cover all ages.,1,Mostly because they show more than one side of issues. They offer various programming to cover all ages.,Range and diversity of programming,
Mr rogers,1,Mr rogers,"Nostalgia, familiarity, and comfort",
Mr Rogers,1,Mr Rogers,"Nostalgia, familiarity, and comfort",
"My grandchildren LOVE it!  WE watch Daniel Tiger, Curious George, Pinkalicious. Sesame Street, Molly from Denali. Some days we have PBS on almost ALL DAY!",1,"My grandchildren LOVE it!  WE watch Daniel Tiger, Curious George, Pinkalicious. Sesame Street, Molly from Denali. Some days we have PBS on almost ALL DAY!",Children's and educational programming,
My grandsons,1,My grandsons,Children's and educational programming,
My kids grew up watching PBS Daily because it have such amazing different ways of learning  my daughter is in college studying to become a lawyer and my son is in college studying to become an architect PBS has a big part of my kids Education,1,My kids grew up watching PBS Daily because it have such amazing different ways of learning  my daughter is in college studying to become a lawyer and my son is in college studying to become an architect PBS has a big part of my kids Education,"Nostalgia, familiarity, and comfort",
My kids like it,1,My kids like it,Children's and educational programming,
My kids love the cartoons and they are educational. Thats what i love about it.,1,My kids love the cartoons and they are educational. Thats what i love about it.,Children's and educational programming,
My kids love watching cartoons,1,My kids love watching cartoons,Children's and educational programming,
N/A,1,N/A,Other,
na,1,na,Other,
Na,1,Na,Other,
missing,1,missing,Other,
netural reporting,1,netural reporting,"News exhibits political moderation, unbiasedness, or accuracy",
neutral reporting,1,neutral reporting,"News exhibits political moderation, unbiasedness, or accuracy",
never failed a fact check,1,never failed a fact check,"News exhibits political moderation, unbiasedness, or accuracy",
news,1,news,"News exhibits political moderation, unbiasedness, or accuracy",
News,1,News,"News exhibits political moderation, unbiasedness, or accuracy",
News and public affairs programming is unbiased,1,News and public affairs programming is unbiased,"News exhibits political moderation, unbiasedness, or accuracy",
News hour,1,News hour,Other,
News is accurate and not biased,1,News is accurate and not biased,"News exhibits political moderation, unbiasedness, or accuracy",
news is neutral,1,news is neutral,"News exhibits political moderation, unbiasedness, or accuracy",
News programs are unbiased.  Science programs present points of view not seen elsewhere (e.g use of Dmissing),1,News programs are unbiased.  Science programs present points of view not seen elsewhere (e.g use of DNA),"News exhibits political moderation, unbiasedness, or accuracy",
News quality,1,News quality,"News exhibits political moderation, unbiasedness, or accuracy",
News reported fairly.,1,News reported fairly.,"News exhibits political moderation, unbiasedness, or accuracy",
Nice,1,Nice,"Nostalgia, familiarity, and comfort",
Nice good better than expected,1,Nice good better than expected,"Nostalgia, familiarity, and comfort",
Nick menu,1,Nick menu,Other,
No,1,No,Other,
no advertising,2,no advertising,Public funding,
No advertising,1,No advertising,Public funding,
No advertising and the quality of programs that are offered.,1,No advertising and the quality of programs that are offered.,Public funding,
No advertising by companies and not influenced by government,1,No advertising by companies and not influenced by government,Public funding,
no advertising influence,1,no advertising influence,Public funding,
No affiliation with government,1,No affiliation with government,Public funding,
no ax to grine,1,no ax to grine,"News exhibits political moderation, unbiasedness, or accuracy",
no bias,1,no bias,"News exhibits political moderation, unbiasedness, or accuracy",
No comment,1,No comment,Other,
no commercials,1,no commercials,Public funding,
No commercials viewer funded,1,No commercials viewer funded,Public funding,
"no im not,,but want to",1,"no im not,,but want to",Other,
no obvious commercial bent,1,no obvious commercial bent,Public funding,
No one is paying for it,1,No one is paying for it,Public funding,
No profit organization,1,No profit organization,Public funding,
no reason,1,no reason,Other,
no reason not to,1,no reason not to,Other,
Nobody owns them but the public,1,Nobody owns them but the public,Public funding,
non bias,1,non bias,"News exhibits political moderation, unbiasedness, or accuracy",
Non bias approach,1,Non bias approach,"News exhibits political moderation, unbiasedness, or accuracy",
"Non bias, informative",1,"Non bias, informative","News exhibits political moderation, unbiasedness, or accuracy",
non biased,1,non biased,"News exhibits political moderation, unbiasedness, or accuracy",
Non biased,2,Non biased,"News exhibits political moderation, unbiasedness, or accuracy",
non biased programs,1,non biased programs,High quality programming,
Non biased service,1,Non biased service,High quality programming,
"non biased, for everyone",1,"non biased, for everyone",High quality programming,
Non comfroming,1,Non comfroming,Other,
non commercial,1,non commercial,Public funding,
Non commercial,1,Non commercial,Public funding,
Non commercial orientation,1,Non commercial orientation,Public funding,
non influenced by government,1,non influenced by government,Public funding,
Non judgmental,1,Non judgmental,"News exhibits political moderation, unbiasedness, or accuracy",
non profit,1,non profit,Public funding,
Non profit,8,Non profit,Public funding,
Non- biased,1,Non- biased,"News exhibits political moderation, unbiasedness, or accuracy",
Non-biased,1,Non-biased,"News exhibits political moderation, unbiasedness, or accuracy",
"Non-biased, children programming",1,"Non-biased, children programming",Children's and educational programming,
Non-commercial,1,Non-commercial,Public funding,
"Non-commercial, seriousness of purpose, dispassionate",1,"Non-commercial, seriousness of purpose, dispassionate",Public funding,
Non-political for one reason. Report news fairly. PBS cares about its viewers.,1,Non-political for one reason. Report news fairly. PBS cares about its viewers.,"News exhibits political moderation, unbiasedness, or accuracy",
non-profit,2,non-profit,Public funding,
Non-profit,2,Non-profit,Public funding,
none,1,none,Other,
None,11,None,Other,
Nonprofit,2,Nonprofit,Public funding,
Nostalgia,1,Nostalgia,"Nostalgia, familiarity, and comfort",
Nostalgia and because it’s for children,1,Nostalgia and because it’s for children,"Nostalgia, familiarity, and comfort",
"Nostalgia, Kids shows, unbiased news",1,"Nostalgia, Kids shows, unbiased news","Nostalgia, familiarity, and comfort",
"Nostalgic first and foremost, but also lack of bias.",1,"Nostalgic first and foremost, but also lack of bias.","Nostalgia, familiarity, and comfort",
Not accountable to investors,1,Not accountable to investors,Public funding,
Not affilafted to gov,1,Not affilafted to gov,Public funding,
Not as biased as other news sources.,1,Not as biased as other news sources.,"News exhibits political moderation, unbiasedness, or accuracy",
not as much companies pushing you them to go their way.,1,not as much companies pushing you them to go their way.,Public funding,
not available,1,not available,Other,
Not beholden to advertisers,1,Not beholden to advertisers,Public funding,
not beholden to advertising,1,not beholden to advertising,Public funding,
not bias,1,not bias,"News exhibits political moderation, unbiasedness, or accuracy",
Not bias,2,Not bias,"News exhibits political moderation, unbiasedness, or accuracy",
not biased,1,not biased,"News exhibits political moderation, unbiasedness, or accuracy",
Not biased,4,Not biased,"News exhibits political moderation, unbiasedness, or accuracy",
Not commercial TV,1,Not commercial TV,Public funding,
Not connected to the government,1,Not connected to the government,Public funding,
Not controlled by advertiser,1,Not controlled by advertiser,Public funding,
Not controlled by one of the medial moguls.,1,Not controlled by one of the medial moguls.,Public funding,
Not depended on commercial advertising,1,Not depended on commercial advertising,Public funding,
not driven by profit motive,1,not driven by profit motive,Public funding,
Not federally funded,1,Not federally funded,Public funding,
not for profit,1,not for profit,Public funding,
Not for profit,1,Not for profit,Public funding,
Not funded by avertiserd,1,Not funded by avertiserd,Public funding,
Not government influenced,1,Not government influenced,Public funding,
Not in anuones pocket,1,Not in anuones pocket,Public funding,
not influenced by advertisers,1,not influenced by advertisers,Public funding,
Not influenced by government,2,Not influenced by government,Public funding,
Not influenced by government or advertisers,1,Not influenced by government or advertisers,Public funding,
Not influenced by government or advertisers.,1,Not influenced by government or advertisers.,Public funding,
Not influenced by pressure from high government or corporate money.,1,Not influenced by pressure from high government or corporate money.,Public funding,
Not influenced by sponsors,1,Not influenced by sponsors,Public funding,
Not influenced by the government,1,Not influenced by the government,Public funding,
Not influenced. Y advertisers,1,Not influenced. Y advertisers,Public funding,
not influnced by the government,1,not influnced by the government,Public funding,
"Not involved with government, publicly funding, wide variety of programs,",1,"Not involved with government, publicly funding, wide variety of programs,",Public funding,
Not led by commercial businesses.,1,Not led by commercial businesses.,Public funding,
not liberal based,1,not liberal based,"News exhibits political moderation, unbiasedness, or accuracy",
Not obligated to advertisers,1,Not obligated to advertisers,Public funding,
Not paid for by advertisers,1,Not paid for by advertisers,Public funding,
Not paid for by commercials,1,Not paid for by commercials,Public funding,
not slanted,1,not slanted,"News exhibits political moderation, unbiasedness, or accuracy",
not sure,3,not sure,Other,
Not sure,3,Not sure,Other,
Not swayed by advertising,1,Not swayed by advertising,Public funding,
Not too many ads,1,Not too many ads,Public funding,
Not Trumps broadcast,1,Not Trumps broadcast,"News exhibits political moderation, unbiasedness, or accuracy",
Not under influence of mass media and politicians,1,Not under influence of mass media and politicians,Public funding,
nothing,2,nothing,Other,
Nothing,3,Nothing,Other,
Nothing at all,1,Nothing at all,Other,
nothing more to say,1,nothing more to say,Other,
Nothing really sensational,1,Nothing really sensational,High quality programming,
Nown for many years,1,Nown for many years,"Nostalgia, familiarity, and comfort",
NTN,1,NTN,Other,
Oh wow oh dang it jay you and your dad home today oh wow I don’t have,1,Oh wow oh dang it jay you and your dad home today oh wow I don’t have,Other,
Okay,1,Okay,Other,
Okay what you,1,Okay what you,Other,
Overall Quality of the programming,1,Overall Quality of the programming,High quality programming,
past experiences,1,past experiences,"Nostalgia, familiarity, and comfort",
Pbs,1,Pbs,Other,
PBS always comes across as being balanced.,1,PBS always comes across as being balanced.,"News exhibits political moderation, unbiasedness, or accuracy",
"Pbs always has put the best interest of the public first the genully cRe for the audience,i have grown up with pbs,it is a dependable network",1,"Pbs always has put the best interest of the public first the genully cRe for the audience,i have grown up with pbs,it is a dependable network","Nostalgia, familiarity, and comfort",
PBS delivers quality and legit news and reports,1,PBS delivers quality and legit news and reports,High quality programming,
"PBS has a history of providing the best of all programming, no matter the genre.",1,"PBS has a history of providing the best of all programming, no matter the genre.","Nostalgia, familiarity, and comfort",
PBS has always been my go to provider,1,PBS has always been my go to provider,"Nostalgia, familiarity, and comfort",
PBS has always been willing to examine topics that others are not willing to touch. They do not take signs and they are extremely thorough in reporting,1,PBS has always been willing to examine topics that others are not willing to touch. They do not take signs and they are extremely thorough in reporting,"News exhibits political moderation, unbiasedness, or accuracy",
PBS has been a staple in my life and has taught me many useful skills and life lessons. It may be mostly nostalgia though.,1,PBS has been a staple in my life and has taught me many useful skills and life lessons. It may be mostly nostalgia though.,"Nostalgia, familiarity, and comfort",
