Var1,Freq,names.mytab.
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by advertisers",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by advertisers"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by advertisers,Accessibility to PBS",2,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by advertisers,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by advertisers,Children’s programming,Accessibility to PBS,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by advertisers,Children’s programming,Accessibility to PBS,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by advertisers,Children’s programming,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by advertisers,Children’s programming,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by advertisers,Local affiliates",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by advertisers,Local affiliates"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming,Specific programs:",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by advertisers,Local affiliates,Range of programming,Accessibility to PBS,Specific programs:",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by advertisers,Local affiliates,Range of programming,Accessibility to PBS,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by advertisers,Range of programming,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by advertisers,Range of programming,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by advertisers,Range of programming,Specific programs:",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by advertisers,Range of programming,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Children’s programming,Not sure",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Children’s programming,Not sure"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Local affiliates,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Local affiliates,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Local affiliates,Children’s programming,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Local affiliates,Children’s programming,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS,Specific programs:",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Local affiliates,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Local affiliates,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Local affiliates,Range of programming,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Local affiliates,Range of programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers",9,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Accessibility to PBS",3,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Accessibility to PBS,Specific programs:",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Accessibility to PBS,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming",3,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming,Accessibility to PBS",3,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS",4,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS,Specific programs:",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming,Accessibility to PBS,Specific programs:",2,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming,Accessibility to PBS,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming,Nostalgic connection with PBS",2,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Accessibility to PBS,Specific programs:",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Accessibility to PBS,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS,Specific programs:",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming,Nostalgic connection with PBS,Specific programs:",2,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming,Nostalgic connection with PBS,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Range of programming",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Range of programming"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Range of programming,Accessibility to PBS",2,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Local affiliates,Range of programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Range of programming",2,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Range of programming"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Range of programming,Accessibility to PBS",3,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Range of programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Range of programming,Accessibility to PBS,Specific programs:",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Range of programming,Accessibility to PBS,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Range of programming,Specific programs:",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Range of programming,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Specific programs:",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Not influenced by government,Not influenced by advertisers,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Range of programming",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Range of programming"
"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Specific programs: ,Other:,Not sure",1,"Perceived lack of bias in the news and reporting,Quality of the news,Non-profit,Specific programs: ,Other:,Not sure"
"Perceived lack of bias in the news and reporting,Quality of the news,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by advertisers",7,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by advertisers"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by advertisers,Children’s programming",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by advertisers,Children’s programming"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by advertisers,Children’s programming,Range of programming,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by advertisers,Children’s programming,Range of programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by advertisers,Local affiliates",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by advertisers,Local affiliates"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by advertisers,Local affiliates,Children’s programming,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by advertisers,Local affiliates,Children’s programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by advertisers,Local affiliates,Range of programming,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by advertisers,Local affiliates,Range of programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by advertisers,Local affiliates,Range of programming,Specific programs:",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by advertisers,Local affiliates,Range of programming,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by advertisers,Range of programming",2,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by advertisers,Range of programming"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by advertisers,Range of programming,Specific programs:",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by advertisers,Range of programming,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government",11,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Children’s programming",2,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Children’s programming"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Children’s programming,Accessibility to PBS,Specific programs:",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Children’s programming,Accessibility to PBS,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Children’s programming,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Children’s programming,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Children’s programming,Range of programming",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Children’s programming,Range of programming"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Children’s programming,Range of programming,Accessibility to PBS",2,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Children’s programming,Range of programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Children’s programming,Range of programming,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Children’s programming,Range of programming,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Local affiliates",2,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Local affiliates"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Local affiliates,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Local affiliates,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Local affiliates,Children’s programming",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Local affiliates,Children’s programming"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Local affiliates,Children’s programming,Range of programming,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Local affiliates,Children’s programming,Range of programming,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Nostalgic connection with PBS,Other:",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Nostalgic connection with PBS,Other:"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers",11,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Accessibility to PBS",2,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Accessibility to PBS,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Accessibility to PBS,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Children’s programming",2,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Children’s programming"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Children’s programming,Nostalgic connection with PBS,Specific programs:",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Children’s programming,Nostalgic connection with PBS,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming",2,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming,Accessibility to PBS",2,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS,Specific programs:",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming,Accessibility to PBS,Specific programs:",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming,Accessibility to PBS,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming,Specific programs:",2,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Children’s programming,Range of programming,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Local affiliates",3,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Local affiliates"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Accessibility to PBS",2,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Accessibility to PBS,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Accessibility to PBS,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS",2,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS,Specific programs:",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming,Specific programs:",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Local affiliates,Children’s programming,Range of programming,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Range of programming",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Range of programming"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Range of programming,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Range of programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Range of programming,Accessibility to PBS,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Range of programming,Accessibility to PBS,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Range of programming,Specific programs:",2,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Range of programming,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Specific programs:",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Not influenced by advertisers,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Range of programming",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Range of programming"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Range of programming,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Range of programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Specific programs:",2,"Perceived lack of bias in the news and reporting,Quality of the news,Not influenced by government,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Not sure",1,"Perceived lack of bias in the news and reporting,Quality of the news,Not sure"
"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded",12,"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded"
"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Accessibility to PBS",4,"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Children’s programming",2,"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Children’s programming"
"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Children’s programming,Accessibility to PBS,Nostalgic connection with PBS,Specific programs: ,Not sure",1,"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Children’s programming,Accessibility to PBS,Nostalgic connection with PBS,Specific programs: ,Not sure"
"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Children’s programming,Range of programming,Accessibility to PBS",2,"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Children’s programming,Range of programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS",3,"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Local affiliates,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Local affiliates,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Local affiliates,Children’s programming,Accessibility to PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Local affiliates,Children’s programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Local affiliates,Children’s programming,Accessibility to PBS,Specific programs:",1,"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Local affiliates,Children’s programming,Accessibility to PBS,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Local affiliates,Children’s programming,Nostalgic connection with PBS",1,"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Local affiliates,Children’s programming,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS",2,"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS",2,"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS"
"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS,Specific programs:",1,"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS,Nostalgic connection with PBS,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS,Specific programs:",1,"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Local affiliates,Children’s programming,Range of programming,Accessibility to PBS,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Local affiliates,Children’s programming,Range of programming,Specific programs:",1,"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Local affiliates,Children’s programming,Range of programming,Specific programs:"
"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Local affiliates,Range of programming",1,"Perceived lack of bias in the news and reporting,Quality of the news,Publicly funded,Local affiliates,Range of programming"
